surface_id	path	scope	source_ids	fork_behavior	upstream_change	classification	resolution	proof
python/omp-work/src/omp_work/operations/backup.py	python/omp-work/src/omp_work/operations/backup.py	fork-only	s5ca2897ee862	feat(work-ledger): implement controlled Linear cutover (HOME-148); fix(work-ledger): probe backup target with a real empty file; document cutover recovery (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/backup.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/capabilities.py	python/omp-work/src/omp_work/operations/capabilities.py	fork-only	sdb98ac04e358	session candidate: HOME-149; feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/capabilities.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/cli.py	python/omp-work/src/omp_work/operations/cli.py	fork-only	se693fdf5fd9d	session candidate: HOME-149; feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): add cutover status operator view (HOME-148); feat(work-ledger): cutover coordinator, freeze fence, rehearsal smoke reuse (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/cli.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/config.py	python/omp-work/src/omp_work/operations/config.py	fork-only	s61b08a458e4f	feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/config.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/database.py	python/omp-work/src/omp_work/operations/database.py	fork-only	scc94b9ae08b8	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/database.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/fingerprints.py	python/omp-work/src/omp_work/operations/fingerprints.py	fork-only	sb8552c96500e	session candidate: HOME-149; feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/fingerprints.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0001_schema_and_security.sql	python/omp-work/src/omp_work/operations/migrations/0001_schema_and_security.sql	fork-only	s0a86edded858	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0001_schema_and_security.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0002_operations_health.sql	python/omp-work/src/omp_work/operations/migrations/0002_operations_health.sql	fork-only	s99928495c0b4	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0002_operations_health.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0003_work_service_domain.sql	python/omp-work/src/omp_work/operations/migrations/0003_work_service_domain.sql	fork-only	s51a313143ac2	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0003_work_service_domain.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0004_backup_reader_privileges.sql	python/omp-work/src/omp_work/operations/migrations/0004_backup_reader_privileges.sql	fork-only	s76a486b970c3	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0004_backup_reader_privileges.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0005_work_service_hardening.sql	python/omp-work/src/omp_work/operations/migrations/0005_work_service_hardening.sql	fork-only	s149f6961d540	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0005_work_service_hardening.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0006_linear_export_records.sql	python/omp-work/src/omp_work/operations/migrations/0006_linear_export_records.sql	fork-only	s37c99b8ffcb5	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0006_linear_export_records.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0007_linear_import.sql	python/omp-work/src/omp_work/operations/migrations/0007_linear_import.sql	fork-only	s80c3bdac4a63	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0007_linear_import.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0008_workflow_candidate_contract.sql	python/omp-work/src/omp_work/operations/migrations/0008_workflow_candidate_contract.sql	fork-only	se164b8afa8bf	feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0008_workflow_candidate_contract.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0009_service_readiness_grants.sql	python/omp-work/src/omp_work/operations/migrations/0009_service_readiness_grants.sql	fork-only	s9424e6097339	feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0009_service_readiness_grants.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0010_cutover_authority.sql	python/omp-work/src/omp_work/operations/migrations/0010_cutover_authority.sql	fork-only	sc28dd4b8a219	feat(work-ledger): cutover coordinator, freeze fence, rehearsal smoke reuse (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0010_cutover_authority.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0011_cutover_attestation.sql	python/omp-work/src/omp_work/operations/migrations/0011_cutover_attestation.sql	fork-only	s139face7158d	feat(work-ledger): implement controlled Linear cutover (HOME-148)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0011_cutover_attestation.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0012_source_watermark.sql	python/omp-work/src/omp_work/operations/migrations/0012_source_watermark.sql	fork-only	se6e53e7905de	feat(work-ledger): implement controlled Linear cutover (HOME-148)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0012_source_watermark.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0013_first_mutation_pairing.sql	python/omp-work/src/omp_work/operations/migrations/0013_first_mutation_pairing.sql	fork-only	s572bf57a0a34	fix(work-ledger): finalize cutover remediation	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0013_first_mutation_pairing.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0014_close_attempts_and_audit_manifests.sql	python/omp-work/src/omp_work/operations/migrations/0014_close_attempts_and_audit_manifests.sql	fork-only	s65a0c870406a	session candidate: OMP-47	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0014_close_attempts_and_audit_manifests.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0015_auditor_launch_cancellation.sql	python/omp-work/src/omp_work/operations/migrations/0015_auditor_launch_cancellation.sql	fork-only	s2156c7f06061	session candidate: OMP-65	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0015_auditor_launch_cancellation.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0016_close_attempt_riders.sql	python/omp-work/src/omp_work/operations/migrations/0016_close_attempt_riders.sql	fork-only	s80d21b4a8bd2	session candidate: OMP-89	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0016_close_attempt_riders.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/migrations/0017_close_authorization_uses.sql	python/omp-work/src/omp_work/operations/migrations/0017_close_authorization_uses.sql	fork-only	s54efebea5b37	session candidate: OMP-140	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/migrations/0017_close_authorization_uses.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/operations/sql/roles.sql	python/omp-work/src/omp_work/operations/sql/roles.sql	fork-only	se07b7945ce13	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/operations/sql/roles.sql is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/py.typed	python/omp-work/src/omp_work/py.typed	fork-only	se0720d76510b	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/py.typed is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/v1/__init__.py	python/omp-work/src/omp_work/v1/__init__.py	fork-only	s7b0fe647407b	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/v1/__init__.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/v1/api_models.py	python/omp-work/src/omp_work/v1/api_models.py	fork-only	s271e48410bbf	session candidate: OMP-147; session candidate: OMP-140; session candidate: OMP-106; session candidate: OMP-65; session candidate: OMP-47; feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/v1/api_models.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/v1/canonical.py	python/omp-work/src/omp_work/v1/canonical.py	fork-only	sb58891650f8a	session candidate: OMP-140; session candidate: OMP-47; feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/v1/canonical.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/v1/client.py	python/omp-work/src/omp_work/v1/client.py	fork-only	s9344b6fe23c1	session candidate: OMP-147; feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/v1/client.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/v1/models.py	python/omp-work/src/omp_work/v1/models.py	fork-only	sfe77f45f6fa5	session candidate: OMP-147; session candidate: OMP-140; session candidate: OMP-108; session candidate: OMP-106; session candidate: OMP-99; session candidate: OMP-89; session candidate: OMP-67; session candidate: OMP-65; session candidate: OMP-47; feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/v1/models.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/v1/semantics.py	python/omp-work/src/omp_work/v1/semantics.py	fork-only	s1e662618ffc3	session candidate: OMP-108; session candidate: OMP-99; session candidate: OMP-67; session candidate: OMP-65; session candidate: OMP-47; feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/v1/semantics.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/v1/server.py	python/omp-work/src/omp_work/v1/server.py	fork-only	sa5f2d5a5ee3a	session candidate: OMP-147; session candidate: OMP-89; session candidate: OMP-25; feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/v1/server.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/v1/service.py	python/omp-work/src/omp_work/v1/service.py	fork-only	s7599af6e95c3	session candidate: OMP-147; session candidate: OMP-140; session candidate: OMP-65; session candidate: OMP-47; session candidate: OMP-25; feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/v1/service.py is empty (path byte-identical to frozen main)
python/omp-work/src/omp_work/v1/store.py	python/omp-work/src/omp_work/v1/store.py	fork-only	s7f4e2079ebfc	session candidate: OMP-147; session candidate: OMP-141; session candidate: OMP-140; session candidate: OMP-108; session candidate: OMP-107; session candidate: OMP-106; session candidate: OMP-89; session candidate: OMP-65; session candidate: OMP-47; session candidate: OMP-25; feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/src/omp_work/v1/store.py is empty (path byte-identical to frozen main)
python/omp-work/tests/pg_native.py	python/omp-work/tests/pg_native.py	fork-only	s511eebb2c826	feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/tests/pg_native.py is empty (path byte-identical to frozen main)
python/omp-work/tests/test_contract.py	python/omp-work/tests/test_contract.py	fork-only	s6a79e184c38a	session candidate: OMP-147; session candidate: OMP-108; session candidate: OMP-99; session candidate: OMP-67; session candidate: OMP-65; session candidate: OMP-47; session candidate: HOME-149; feat(work-ledger): cutover coordinator, freeze fence, rehearsal smoke reuse (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/tests/test_contract.py is empty (path byte-identical to frozen main)
python/omp-work/tests/test_cutover.py	python/omp-work/tests/test_cutover.py	fork-only	sf2c4861aaaa1	session candidate: OMP-108; session candidate: HOME-149; feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/tests/test_cutover.py is empty (path byte-identical to frozen main)
python/omp-work/tests/test_install_script.py	python/omp-work/tests/test_install_script.py	fork-only	s2a79ca7fbe23	session candidate: OMP-108	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/tests/test_install_script.py is empty (path byte-identical to frozen main)
python/omp-work/tests/test_linear_import.py	python/omp-work/tests/test_linear_import.py	fork-only	s4493fd7c1d22	session candidate: HOME-149; feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/tests/test_linear_import.py is empty (path byte-identical to frozen main)
python/omp-work/tests/test_postgres_operations.py	python/omp-work/tests/test_postgres_operations.py	fork-only	sd83d7eb41295	session candidate: OMP-140; session candidate: OMP-89; session candidate: OMP-67; session candidate: OMP-47; session candidate: HOME-149; fix(work-ledger): finalize cutover remediation; feat(work-ledger): implement controlled Linear cutover (HOME-148); feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/tests/test_postgres_operations.py is empty (path byte-identical to frozen main)
python/omp-work/tests/test_work_service.py	python/omp-work/tests/test_work_service.py	fork-only	s439979d7cb35	session candidate: OMP-147; feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147); feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/tests/test_work_service.py is empty (path byte-identical to frozen main)
python/omp-work/tests/test_workflow_service.py	python/omp-work/tests/test_workflow_service.py	fork-only	s24fb2e78e3b9	session candidate: OMP-147; session candidate: OMP-141; session candidate: OMP-140; session candidate: OMP-108; session candidate: OMP-107; fix(workflow): adopt post-freeze OMP-106 drift + overlap-refusal tests (OMP-116, OMP-118); session candidate: OMP-106; session candidate: OMP-99; session candidate: OMP-89; session candidate: OMP-67; session candidate: OMP-65; session candidate: OMP-47; session candidate: OMP-25; feat(work-ledger): cutover authority, OAuth exporter credential, atomic activation (HOME-148); feat(work-ledger): interactive OMP workflow on WorkService (HOME-146, HOME-147)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/tests/test_workflow_service.py is empty (path byte-identical to frozen main)
python/omp-work/uv.lock	python/omp-work/uv.lock	fork-only	s30d44f59c5c7	feat(work-ledger): PostgreSQL Work Ledger with Linear export and import (HOME-143, HOME-144, HOME-145, HOME-146)	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/omp-work/uv.lock is empty (path byte-identical to frozen main)
python/robomp/tests/test_persona.py	python/robomp/tests/test_persona.py	shared	s2363bab03de3,s995196c113c8,s5d0a123b637e,sedc4c53b95b1	test(robomp): align queue and worker tests with reminder behavior; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Retain fork thread/login/PR-review cases; adopt upstream ReleaseTaskContext, release system/kickoff/follow-up prompts, retag contract, release todo phases, and relaxed directive/push-refusal wording assertions.	uv run --project python/robomp --extra dev python -m pytest — 664 passed (gate 9); focused 6-file run 77 passed
python/robomp/tests/test_queue_cancel.py	python/robomp/tests/test_queue_cancel.py	shared	sa74c399156b9	test(robomp): align queue and worker tests with reminder behavior; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Retain every fork cancellation, operator-error, and reap-order case; add upstream _StubSandbox.reclaim_workspace_caches and reclaim_all_caches methods exactly, with no production-semantic replacement.	uv run --project python/robomp --extra dev python -m pytest — 664 passed (gate 9); focused 6-file run 77 passed
python/robomp/tests/test_queue_dispatch.py	python/robomp/tests/test_queue_dispatch.py	shared	s90e099f6c976	test(robomp): align queue and worker tests with reminder behavior; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Retain fork issue/PR routes and synchronize no-op; add upstream cache-reclaim stub methods and workflow_run/completed dispatch to tasks.handle_release_ci(payload, attempts).	uv run --project python/robomp --extra dev python -m pytest — 664 passed (gate 9); focused 6-file run 77 passed
python/robomp/tests/test_queue_shutdown.py	python/robomp/tests/test_queue_shutdown.py	shared	s4a18a7821fd0	test(robomp): align queue and worker tests with reminder behavior; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Retain fork drain-then-kill, cancel-hook/hookless, _shutdown_cancelled, and non-root semaphore cases; add upstream cache-reclaim methods to _StubSandbox.	uv run --project python/robomp --extra dev python -m pytest — 664 passed (gate 9); focused 6-file run 77 passed
python/robomp/tests/test_retry.py	python/robomp/tests/test_retry.py	shared	sd11a56e4158f	test(robomp): align queue and worker tests with reminder behavior; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Retain fork backoff, jitter, claim gate, manual requeue, retry budget/state, and reap cases; add upstream cache-reclaim methods to _StubSandbox.	uv run --project python/robomp --extra dev python -m pytest — 664 passed (gate 9); focused 6-file run 77 passed
python/robomp/tests/test_worker.py	python/robomp/tests/test_worker.py	shared	s4dbd47d7323a	test(robomp): align queue and worker tests with reminder behavior; Add 'session-system/' from commit '04059416c063478b806a64fd33afc42823557b66'	upstream 18.0.6 reworked this path; textual conflict predicted by merge-tree preview	re-fitted	Retain fork _FakeRpcClient, resume, XDG/permissions, slot groups, timeout, completion/dirty-state, and NativesCache cases; adopt upstream exact terminal-tool reminder set plus release fresh/resumed prompt routing and repeat-until-retag-or-abort cases.	uv run --project python/robomp --extra dev python -m pytest — 664 passed (gate 9); focused 6-file run 77 passed
python/robomp/uv.lock	python/robomp/uv.lock	fork-only	sc561434b1ad8	test(robomp): align queue and worker tests with reminder behavior	none (fork-only path)	retained	fork-only path; carried through merge unchanged	fork-only sweep: git diff 79b037e420943010e03727d7cdb22f05e64507b7..eb795f45e8 -- python/robomp/uv.lock is empty (path byte-identical to frozen main)
